time,v_id,event,p_id
00:00:05,0,1,
00:01:09,2,1,
00:01:17,4,1,
00:02:01,5,2,102
00:02:01,5,2,2
00:02:01,5,2,0
00:02:01,5,2,94
00:02:01,5,2,78
00:02:07,7,1,
00:02:12,8,1,
00:02:36,11,1,
00:03:08,14,3,190
00:03:08,14,2,181
00:03:13,16,2,190
00:03:16,20,1,
00:03:19,21,1,
00:03:22,22,1,
00:03:25,24,1,
00:03:34,25,1,
00:03:39,28,1,
00:03:41,29,1,
00:03:45,30,1,
00:04:56,31,1,
00:05:12,32,1,
00:05:19,34,1,
00:05:21,35,1,
00:05:30,38,1,
00:05:58,40,1,
00:06:38,49,1,
00:07:12,50,1,
00:07:32,52,1,
00:07:43,53,1,
00:08:07,54,1,
00:08:12,55,1,
00:09:27,58,2,468
00:09:27,58,2,460
00:09:42,62,1,
00:10:49,63,1,
00:11:27,64,1,
00:11:42,66,1,
00:11:50,67,1,
00:11:52,68,3,520
00:11:57,70,2,520
00:12:00,74,1,
00:12:03,77,1,
00:12:05,78,1,
00:12:48,85,1,
00:15:23,86,2,628
00:15:23,86,2,621
00:15:23,86,2,622
00:15:28,87,1,
00:15:31,90,1,
00:15:35,91,1,
