time,v_id,event,p_id
00:00:15,0,2,18
00:00:15,0,2,10
00:00:22,2,1,
00:00:25,3,1,
00:00:27,4,1,
00:00:29,5,1,
00:02:07,6,1,
00:02:12,7,1,
00:02:18,8,1,
00:02:23,9,1,
00:02:35,11,1,
00:03:31,13,1,
00:03:42,14,1,
00:03:49,15,1,
00:03:54,16,3,90
00:03:54,16,3,44
00:03:54,16,3,47
00:03:54,16,3,38
00:04:31,17,3,127
00:05:03,18,1,
00:07:27,21,2,139
00:07:29,22,1,
00:07:32,23,1,
00:07:35,24,1,
00:07:37,25,1,
00:07:40,26,1,
00:07:43,28,1,
00:07:45,30,1,
00:07:48,31,1,
00:07:51,32,1,
00:08:14,33,1,
00:08:18,34,1,
00:08:20,35,1,
00:11:17,58,2,245
00:11:17,58,2,262
00:11:17,58,2,265
00:11:21,59,2,265
00:11:23,60,1,
00:11:26,61,1,
00:11:28,62,1,
00:11:31,63,1,
00:11:33,64,1,
00:11:35,65,1,
00:11:37,66,1,
00:11:39,67,1,
00:11:45,68,1,
00:11:48,71,1,
00:11:53,73,1,
00:14:04,74,1,
00:14:07,75,1,
00:14:11,77,3,306
00:14:11,77,3,337
00:14:21,78,2,337
00:14:21,78,3,350
00:14:21,78,3,355
00:14:33,79,2,357
00:14:33,79,2,350
00:14:33,79,2,358
00:14:33,79,3,355
00:14:33,79,3,364
00:15:01,81,1,
