time,v_id,event,p_id
00:00:00,0,1,
00:00:17,2,2,7
00:00:17,2,2,5
00:00:20,4,1,
00:00:22,7,1,
00:00:25,8,1,
00:00:27,10,1,
00:00:34,14,1,
00:00:43,15,1,
00:00:46,16,1,
00:00:56,17,1,
00:01:48,18,1,
00:03:23,19,1,
00:03:35,20,3,71
00:03:35,20,3,61
00:03:35,20,3,72
00:03:35,20,3,56
00:03:35,20,3,63
00:03:35,20,3,69
00:03:35,20,3,39
00:03:50,21,2,112
00:03:50,21,2,56
00:03:50,21,2,63
00:03:50,21,2,69
00:03:50,21,2,39
00:03:50,21,2,115
00:03:50,21,2,118
00:04:09,22,2,128
00:04:12,24,1,
00:04:16,25,3,138
00:04:16,25,3,137
00:04:20,26,2,138
00:04:20,26,2,137
00:04:23,27,1,
00:04:32,29,1,
00:04:36,30,1,
00:04:42,31,1,
00:07:37,33,2,211
00:07:37,33,2,212
00:07:37,33,2,185
00:07:37,33,2,207
00:07:37,33,2,224
00:07:37,33,2,223
00:07:37,33,2,158
00:07:37,33,2,218
00:07:57,34,2,228
00:07:59,36,2,228
00:08:01,37,1,
00:08:04,38,1,
00:08:07,39,1,
00:08:10,41,1,
00:08:14,42,1,
00:08:16,43,1,
00:08:19,44,1,
00:09:32,46,1,
00:10:19,50,1,
00:10:31,52,1,
00:10:36,54,1,
00:10:51,56,1,
00:11:20,58,2,379
00:11:20,58,2,382
00:11:20,58,2,381
00:11:20,58,3,383
00:11:26,60,2,382
00:11:26,60,2,381
00:11:26,60,2,383
00:11:32,62,1,
00:11:37,66,1,
00:11:40,67,1,
00:11:43,68,1,
00:11:47,69,1,
00:11:53,70,1,
00:11:58,72,1,
00:12:08,74,1,
00:13:27,75,1,
00:13:31,76,1,
00:13:36,77,1,
00:13:55,81,1,
00:14:47,85,2,525
00:14:47,85,2,528
00:14:47,85,2,529
00:14:47,85,2,534
00:14:47,85,2,524
00:14:47,85,2,522
00:14:51,88,1,
00:14:53,92,1,
00:14:56,95,1,
00:15:12,96,1,
