time,v_id,event,p_id
00:00:22,0,2,18
00:00:22,0,2,30
00:00:22,0,2,0
00:00:22,0,2,13
00:00:22,0,2,27
00:00:22,0,2,24
00:00:22,0,3,31
00:00:22,0,3,33
00:00:22,0,3,34
00:00:44,1,2,44
00:00:44,1,2,48
00:00:44,1,2,46
00:00:48,2,1,
00:00:51,3,1,
00:00:53,5,1,
00:00:55,6,1,
00:00:58,7,1,
00:01:00,8,1,
00:01:07,9,1,
00:01:12,10,1,
00:01:16,13,1,
00:02:40,14,1,
00:02:46,15,1,
00:02:50,17,1,
00:03:00,19,1,
00:03:08,20,1,
00:03:13,21,1,
00:03:25,22,1,
00:03:27,23,3,99
00:03:27,23,3,60
00:03:27,23,3,61
00:03:27,23,3,114
00:03:46,24,2,173
00:03:46,24,2,177
00:03:46,24,3,176
00:03:54,25,2,177
00:03:54,25,2,176
00:03:57,26,2,177
00:03:57,26,2,176
00:03:59,29,1,
00:04:02,30,1,
00:04:06,31,1,
00:04:57,32,1,
00:05:27,33,1,
00:05:58,34,1,
00:06:02,35,1,
00:06:08,36,1,
00:06:11,37,1,
00:06:38,38,1,
00:06:43,40,3,254
00:06:43,40,3,191
00:06:43,40,3,219
00:06:43,40,3,249
00:06:43,40,3,242
00:06:43,40,3,196
00:06:43,40,3,202
00:06:54,43,2,219
00:06:54,43,2,249
00:06:54,43,2,242
00:06:54,43,2,196
00:06:54,43,2,202
00:06:57,44,2,202
00:06:59,45,1,
00:07:03,46,1,
00:08:57,47,1,
00:09:02,49,1,
00:09:09,50,1,
00:09:12,51,1,
00:09:42,53,1,
00:09:48,54,3,303
00:09:48,54,3,286
00:09:48,54,3,264
00:09:48,54,3,296
00:10:08,55,2,315
00:10:08,55,2,264
00:10:08,55,2,314
00:10:08,55,2,306
00:10:08,55,3,296
00:10:25,57,3,326
00:10:27,58,2,326
00:10:30,59,1,
00:10:32,60,1,
00:10:34,61,1,
00:10:50,62,1,
00:10:55,65,1,
00:11:01,66,1,
00:12:10,67,1,
00:12:36,70,1,
00:13:15,71,1,
00:13:46,72,2,378
00:13:46,72,2,377
00:13:48,79,1,
00:13:51,80,1,
00:14:09,81,1,
00:14:13,82,1,
00:15:37,84,1,
00:15:41,85,1,
00:15:51,86,1,
00:15:57,87,3,393
00:15:57,87,3,419
00:15:57,87,3,430
00:15:57,87,3,441
