time,v_id,event,p_id
00:01:49,0,2,161
00:01:49,0,2,152
00:01:52,3,1,
00:01:54,5,1,
00:01:56,6,1,
00:01:59,7,1,
00:02:01,8,1,
00:02:03,10,1,
00:02:06,13,1,
00:02:09,14,1,
00:02:12,15,1,
00:02:14,16,1,
00:02:17,17,1,
00:02:19,18,1,
00:03:55,19,3,194
00:03:55,19,3,175
00:03:55,19,3,182
00:03:55,19,3,193
00:03:55,19,3,217
00:04:00,25,2,194
00:04:00,25,2,175
00:04:00,25,2,182
00:04:00,25,2,193
00:04:00,25,2,217
00:04:52,27,2,353
00:04:52,27,2,330
00:04:52,27,2,349
00:04:52,27,2,324
00:04:52,27,3,361
00:05:10,28,2,368
00:05:19,30,2,373
00:05:21,32,1,
00:05:27,33,1,
00:05:29,34,1,
00:05:32,35,1,
00:05:36,36,1,
00:05:41,38,1,
00:05:45,39,1,
00:05:54,40,1,
00:08:15,41,2,443
00:08:15,41,2,446
00:08:15,41,3,453
00:08:15,41,3,452
00:08:15,41,3,450
00:08:15,41,3,448
00:08:23,42,2,453
00:08:23,42,2,452
00:08:23,42,2,450
00:08:23,42,2,448
00:08:23,42,3,457
00:08:33,43,1,
00:08:38,44,1,
00:08:41,45,1,
00:08:48,46,1,
00:08:50,47,1,
00:08:52,48,1,
00:08:54,49,1,
00:08:57,50,1,
00:09:01,51,1,
00:11:17,54,2,552
00:11:17,54,2,550
00:11:17,54,2,475
00:11:17,54,2,557
00:11:17,54,2,554
00:11:17,54,2,495
00:11:21,57,2,557
00:11:21,57,2,554
00:11:21,57,2,495
00:11:23,59,1,
00:11:42,60,2,564
00:11:45,61,2,564
00:11:47,62,1,
00:12:01,63,1,
00:12:06,64,1,
00:12:13,65,1,
00:12:18,66,1,
00:14:12,67,1,
00:14:15,69,1,
00:15:22,70,2,790
00:15:22,70,2,781
00:15:22,70,2,793
00:15:29,74,2,793
00:15:33,75,2,793
00:15:37,79,1,
00:15:42,81,1,
00:15:45,86,1,
00:15:51,88,1,
00:15:53,90,1,
00:15:56,91,1,
00:15:59,95,1,
00:16:03,97,1,
