time,v_id,event,p_id
00:00:42,0,1,
00:01:44,2,2,29
00:01:47,5,1,
00:01:49,6,1,
00:01:52,7,1,
00:01:54,8,1,
00:01:57,9,1,
00:02:01,10,1,
00:02:04,11,1,
00:02:06,12,1,
00:02:13,13,1,
00:02:18,14,1,
00:02:30,15,1,
00:03:49,16,1,
00:03:57,17,1,
00:04:00,18,1,
00:04:36,19,2,129
00:04:42,20,1,
00:04:45,21,1,
00:04:47,22,3,135
00:04:52,24,2,135
00:05:17,25,1,
00:06:44,26,1,
00:06:47,27,1,
00:06:51,28,1,
00:07:09,31,2,153
00:07:09,31,2,249
00:07:09,31,2,272
00:07:09,31,2,152
00:07:09,31,2,150
00:07:13,32,1,
00:07:18,34,1,
00:07:27,35,1,
00:07:35,36,1,
00:09:08,37,1,
00:09:27,40,1,
00:09:32,42,1,
00:09:35,44,1,
00:09:37,45,1,
00:09:44,46,1,
00:09:53,47,1,
00:10:09,48,1,
00:10:15,49,3,311
00:10:57,50,2,417
00:11:16,51,1,
00:12:34,54,1,
00:12:42,55,1,
00:13:18,56,2,453
00:13:18,56,2,449
00:13:18,56,2,467
00:13:47,58,2,482
00:13:50,62,1,
00:13:52,63,1,
00:14:02,64,1,
00:14:07,65,1,
00:14:12,67,1,
00:15:41,68,1,
