time,v_id,event,p_id
00:00:43,0,1,
00:01:52,1,1,
00:02:05,2,1,
00:02:32,3,3,46
00:02:32,3,3,7
00:02:32,3,3,56
00:02:32,3,3,8
00:02:32,3,3,0
00:02:44,4,2,0
00:02:44,4,2,62
00:02:47,5,1,
00:02:56,6,2,71
00:02:56,6,2,73
00:02:59,8,2,73
00:03:02,11,1,
00:03:04,12,1,
00:03:06,13,1,
00:03:21,14,1,
00:03:25,15,1,
00:05:40,16,1,
00:05:45,17,1,
00:05:47,18,1,
00:06:49,19,2,187
00:06:49,19,2,180
00:06:53,26,2,187
00:06:53,26,2,180
00:06:56,32,1,
00:06:59,33,1,
00:07:01,34,1,
00:07:03,35,1,
00:07:06,36,1,
00:07:14,37,1,
00:07:20,39,1,
00:07:24,41,1,
00:07:30,43,1,
00:07:55,44,1,
00:09:22,45,1,
00:09:29,50,1,
00:10:20,51,2,371
00:10:20,51,2,198
00:10:20,51,2,341
00:10:20,51,2,362
00:10:31,54,2,388
00:10:31,54,2,387
00:10:31,54,2,393
00:10:40,57,2,399
00:10:40,57,2,393
00:10:42,60,2,399
00:10:42,60,2,393
00:10:44,61,1,
00:10:47,62,1,
00:10:51,64,1,
00:10:54,65,1,
00:10:57,66,1,
00:11:00,67,1,
00:12:25,68,1,
00:12:30,69,1,
00:12:39,70,1,
00:13:11,71,2,409
00:13:11,71,2,420
00:13:14,72,1,
00:13:33,73,2,463
00:13:46,78,2,474
00:13:46,78,3,479
00:13:57,80,1,
00:14:01,82,1,
00:14:08,83,1,
00:14:10,84,1,
00:15:32,85,1,
00:15:36,92,1,
00:15:41,93,1,
